Year,Germany,Indonesia,Italy,Singapore,UnitedStates
2000,1.440268187,3.68861916,2.537685321,1.361623924,3.376857271
2001,1.983856936,11.50011488,2.785165427,0.997197956,2.826171119
2002,1.420805605,11.90011757,2.465323192,-0.391676867,1.586031627
2003,1.034227766,6.757317194,2.672555528,0.5079053,2.270094973
2004,1.665733409,6.064059885,2.206736614,1.662727199,2.677236693
2005,1.546909652,10.45319842,1.985292985,0.425106277,3.392746845
2006,1.577428259,13.1086721,2.09084391,0.962901778,3.225944101
2007,2.298341797,6.406562813,1.829741122,2.104880036,2.852672482
2008,2.628381749,10.22666455,3.347832584,6.627781774,3.839100297
2009,0.31273763,4.38641555,0.774768131,0.596720257,-0.355546266
2010,1.103809161,5.134204008,1.525516021,2.823661349,1.640043442
2011,2.075174525,5.35604779,2.780632729,5.247793398,3.156841569
2012,2.008490922,4.279499996,3.041363332,4.575602704,2.069337265
2013,1.50472098,6.412513302,1.219993423,2.358604154,1.464832656
2014,0.906797949,6.394925408,0.24104743,1.02514803,1.622222977
2015,0.51442054,6.363121131,0.0387904,-0.522618167,0.118627136
2016,0.491748625,3.525805157,-0.094016657,-0.53226874,1.261583206
2017,1.509496558,3.80879807,1.226533166,0.57626031,2.130110004
2018,1.732167661,3.198346416,1.137487636,0.438620118,2.442583297
2019,1.445667015,3.03058665,0.611246944,0.565260569,1.812210075
2020,0.50668989,1.920968006,-0.137707574,-0.181916667,1.233584396
2021,3.142969673,1.560129905,1.873783258,2.30485959,4.697858864
